The Sweat of the,Breastplates,,,,,,,,,,
The People's,Anvils,,,,,,,,,,
The Exalted,Chains,,,,,,,,,,
The Minotaur's,Arsenals,,,,,,,,,,
[LastName],Furnaces,,,,,,,,,,
[FirstName],Arms,,,,,,,,,,
The Golden,Weapons,,,,,,,,,,
,Forges,,,,,,,,,,
,Grindstones,,,,,,,,,,
,Scabbards,,,,,,,,,,
,Braces,,,,,,,,,,
,Hilts,,,,,,,,,,
,Gauntlets,,,,,,,,,,
,Blades,,,,,,,,,,
,Shields,,,,,,,,,,
,Pommels,,,,,,,,,,
,Outfitter,,,,,,,,,,
,,Jeweler,,,,,,,,,
The Shiny,Jewlery,,,,,,,,,,
The Sparkling,Jewl,,,,,,,,,,
The Spectacular,Gems/ Jewels/ and Jade,,,,,,,,,,
The Deva's,Ring,,,,,,,,,,
The Unicorn's,Bauble,,,,,,,,,,
The Marvelous,Gem,,,,,,,,,,
[FirstName],Chain,,,,,,,,,,
,Amulet,,,,,,,,,,
,Choker,,,,,,,,,,
,Necklace,,,,,,,,,,
,Sun,,,,,,,,,,
,Bracelet,,,,,,,,,,
[LastName],Brooch,,,,,,,,,,
,Sigil,,,,,,,,,,
,Anklet,,,,,,,,,,
,Decoration,,,,,,,,,,
,Stone,,,,,,,,,,
The Ruby,Eye,,,,,,,,,,
,,Enchanter,,,,,,,,,
The Amber,Oracles,,,,,,,,,,
The Commoner's,Magnificence,,,,,,,,,,
The Enchanter's,Arcanity,,,,,,,,,,
The Coven of,Wizardry,,,,,,,,,,
[FirstName],Clairvoyance,,,,,,,,,,
,Fate,,,,,,,,,,
,Figurines,,,,,,,,,,
,Mystics,,,,,,,,,,
,Intellect,,,,,,,,,,
,Power,,,,,,,,,,
[LastName],Elements,,,,,,,,,,
,Wonders,,,,,,,,,,
,Handy Sundries,,,,,,,,,,
,Enchantments,,,,,,,,,,
,Spellbinds,,,,,,,,,,
Enchanted,Arcane Powers,,,,,,,,,,
,,Magic,,,,,,,,,
Wizards and Wonders,Vault,,,,,,,,,,
Marvelous Magical,Hut,,,,,,,,,,
Arcanist's,Station,,,,,,,,,,
Wizard's,Junction,,,,,,,,,,
[FirstName],Enchantments,,,,,,,,,,
,Emporium,,,,,,,,,,
,Chantry,,,,,,,,,,
,Sanctuary,,,,,,,,,,
,Sanctum,,,,,,,,,,
,Complex,,,,,,,,,,
[LastName],Institute,,,,,,,,,,
,Lantern,,,,,,,,,,
,Tent,,,,,,,,,,
,Tower,,,,,,,,,,
,Place,,,,,,,,,,
